time,win,loss
2022-07-21 12:43:22.480032,0,"1
"
2022-07-21 12:44:32.742257,1,"0
"
2022-07-21 12:46:47.451063,1,"0
"
2022-07-21 12:48:28.944875,0,"1
"
2022-07-21 12:49:39.022280,1,"0
"
2022-07-21 12:51:52.804832,1,"0
"
2022-07-21 12:53:34.308888,0,"1
"
2022-07-21 12:55:16.040295,1,"0
"
2022-07-21 12:56:47.815180,1,"0
"
2022-07-21 12:58:28.906331,1,"0
"
2022-07-21 13:00:20.550148,0,"1
"
2022-07-21 13:01:30.614874,1,"0
"
2022-07-21 13:07:51.338519,1,"0
"
2022-07-21 13:09:01.593615,1,"0
"
2022-07-21 13:10:12.222171,1,"0
"
2022-07-21 13:11:22.534572,1,"0
"
2022-07-21 13:12:32.629075,1,"0
"
2022-07-21 13:14:15.835227,1,"0
"
2022-07-21 13:21:16.765540,0,"0
"
2022-07-21 13:22:26.295858,1,"0
"
2022-07-21 13:24:50.342672,1,"0
"
2022-07-21 13:26:00.324264,1,"0
"
2022-07-21 13:27:20.741367,1,"0
"
2022-07-21 13:28:30.747495,1,"0
"
2022-07-22 09:29:55.381683,1,"0
"
2022-07-22 09:31:05.308458,1,"0
"
2022-07-22 09:32:15.446178,1,"0
"
2022-07-22 09:34:51.160045,1,"0
"
2022-07-22 09:37:59.989809,0,"1
"
2022-07-22 09:39:10.071207,1,"0
"
2022-07-22 09:42:00.380336,1,"0
"
2022-07-22 09:43:20.830817,1,"0
"
2022-07-22 09:49:26.068327,1,"0
"
2022-07-22 12:26:41.898633,1,"0
"
2022-07-22 12:30:44.252542,1,"0
"
2022-07-22 12:32:25.009543,1,"0
"
2022-07-22 12:33:34.839506,1,"0
"
2022-07-22 12:37:22.648857,1,"0
"
2022-07-22 12:38:32.499345,1,"0
"
2022-07-22 12:40:13.212907,1,"0
"
2022-07-22 12:42:25.726251,1,"0
"
2022-07-22 12:44:59.448692,1,"0
"
2022-07-22 12:48:26.536162,1,"0
"
2022-07-22 12:52:57.328752,1,"0
"
2022-07-22 12:54:38.126442,1,"0
"
2022-07-22 12:58:18.191551,0,"1
"
2022-07-22 12:59:54.125541,1,"0
"
2022-07-22 13:00:58.123284,1,"0
"
2022-07-22 13:02:50.107150,0,"1
"
2022-07-22 13:04:20.873058,0,"1
"
2022-07-22 13:05:51.721770,0,"1
"
2022-07-22 13:07:27.380663,1,"0
"
2022-07-22 13:10:27.984200,1,"0
"
2022-07-22 13:13:44.486268,0,"1
"
2022-07-22 13:15:27.726327,1,"0
"
2022-07-22 13:19:18.330824,0,"1
"
2022-07-22 13:20:51.572123,1,"0
"
2022-07-22 13:22:27.456437,1,"0
"
2022-07-22 13:24:55.870114,1,"0
"
2022-07-22 13:26:28.695545,0,"1
"
2022-07-22 13:28:01.420123,0,"1
"
2022-07-22 13:29:05.725149,1,"0
"
2022-07-22 13:31:20.849898,0,"1
"
2022-07-22 13:32:53.690444,1,"0
"
2022-07-22 18:49:44.633656,1,"0
"
2022-07-22 18:52:08.236390,0,"1
"
2022-07-22 18:53:41.251006,1,"0
"
2022-07-22 18:56:42.774015,0,"1
"
2022-07-22 18:59:11.989291,1,"0
"
2022-07-22 19:00:47.291172,1,"0
"
2022-07-22 19:02:41.391600,0,"1
"
2022-07-22 19:03:45.402147,1,"0
"
2022-07-22 19:05:18.275667,1,"0
"
2022-07-22 19:06:22.766738,1,"0
"
2022-07-22 19:07:37.691688,1,"0
"
2022-07-22 19:09:13.537002,1,"0
"
2022-07-22 19:10:17.519216,1,"0
"
2022-07-22 19:12:11.682311,0,"1
"
2022-07-22 19:13:44.536669,1,"0
"
2022-07-22 19:15:38.658764,1,"0
"
2022-07-22 19:18:07.649706,1,"0
"
2022-07-22 19:19:11.559234,1,"0
"
2022-07-22 19:21:05.665947,1,"0
"
2022-07-22 19:24:37.931470,1,"0
"
2022-07-22 19:26:42.945899,1,"0
"
2022-07-22 19:28:08.381302,1,"0
"
2022-07-22 19:29:12.003383,1,"0
"
2022-07-22 19:30:15.923677,1,"0
"
2022-07-22 19:32:44.818893,1,"0
"
2022-07-22 19:34:41.929487,1,"0
"
2022-07-22 19:36:14.870757,1,"0
"
2022-07-22 19:39:14.561116,1,"0
"
2022-07-22 19:40:18.384329,1,"0
"
2022-07-22 19:42:12.576701,0,"1
"
2022-07-22 19:43:16.964999,1,"0
"
2022-07-22 19:44:42.270848,1,"0
"
2022-07-22 19:46:39.611974,1,"0
"
2022-07-22 19:48:12.464864,0,"1
"
2022-07-22 19:49:16.386177,1,"0
"
2022-07-22 19:50:49.225536,0,"1
"
2022-07-22 19:53:39.262337,1,"0
"
2022-07-22 19:55:12.445834,1,"0
"
2022-07-22 19:57:38.466032,0,"1
"
2022-07-22 19:59:46.591118,1,"0
"
2022-07-22 20:01:19.635757,1,"0
"
2022-07-22 20:04:07.200612,0,"1
"
2022-07-22 20:08:08.824047,0,"1
"
2022-07-22 20:09:44.667013,1,"0
"
2022-07-22 20:11:17.641326,0,"1
"
2022-07-22 20:12:43.161452,1,"0
"
2022-07-22 20:14:40.236336,1,"0
"
2022-07-22 20:16:15.906645,1,"0
"
2022-07-22 20:17:19.950055,1,"0
"
2022-07-22 20:18:45.191711,1,"0
"
2022-07-22 20:20:39.405667,0,"1
"
2022-07-22 20:23:16.673563,1,"0
"
2022-07-22 20:24:20.605137,1,"0
"
2022-07-22 20:25:53.609259,1,"0
"
2022-07-22 20:27:18.836362,1,"0
"
